id,shape,d_size,color,clarity,cut,polish,sym,flour,m1,m2,m3,d_depth,d_table,d_ref,reportNo,detail,disc,rate,location,certNo,milky,eyeClean,browness,isbuy,los,isdisp,cert,types,disc1,oldRef,rap,update_time,sys_status,green,up_file_name,is_sh,certificate,daylight,order_by,is_size_normal,black,is_bgm,bt,bc,wt,wc,temp,order_tj,order_sx,rate_add,count_rate,insert_type,currentPage,pageSize,totalPage,totalRecord,shape_en,location_en,is_own_filter_stock,num_all,isown,app_check_code,sign,sessionkey,status,girdle,video,cgno,remark,disc2,rate1
4350941906,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.86,4.89,3.07,63.00,55.00,LD19109260,7343036046,48394,-87.0,2945.25,印度,7343036046,无奶,EC0,无咖,1,www.laxmidiamond.com,1,GIA,,0.0,LDGHGKHLIK,3500.0,"Jun 28, 2020 10:37:21 PM",0,,www.laxmidiamond.com文档在线导入,0,https://certifiedstone.info/certificate/LD19109260.pdf,https://certifiedstone.info/diamondimages/LD19109260/LD19109260_1.jpg,0,1,N,0,BT0,BC0,WT0,WC0,4.89,0,0,0.0,2945.25,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,https://certifiedstone.info/viewer/vision360.html?d=LD19109260,,,,
4350946017,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.84,4.89,3.08,63.40,56.00,LD20015183,2346663294,48394,-87.0,2945.25,印度,2346663294,无奶,EC0,无咖,1,www.laxmidiamond.com,1,GIA,,0.0,LDLKKGZGDV,3500.0,"Jun 28, 2020 10:39:27 PM",0,,www.laxmidiamond.com文档在线导入,0,https://certifiedstone.info/certificate/LD20015183.pdf,https://certifiedstone.info/diamondimages/LD20015183/LD20015183_1.jpg,0,1,N,0,BT0,BC0,WT0,WC0,4.89,0,0,0.0,2945.25,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,https://certifiedstone.info/viewer/vision360.html?d=LD20015183,,,,
4344091065,圆形,0.46,D,VVS1,EX,EX,EX,NON,4.92X4.88X3.09,,,63.00,57.00,ZB1535,7321531687,78738,-83.0,2946.3,印度,7321531687,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,0.0,ZBGZVZ,3500.0,"Jun 27, 2020 2:04:13 PM",0,,78738 0627.xlsx,0,,,0,1,N,0,-,-,-,-,4.92,0,0,0.0,2946.3,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,,,,,
4350795837,圆形,0.45,E,IF,EX,EX,EX,NON,4.93 X 3.03 X 4.90,,,61.80,59.00,432149,6341852919,66658,-82.0,2948.4,香港,6341852919,无奶,EC0,无咖,1,stock.pansuriyaimpex.com,1,GIA,,0.0,2VLG2H,3600.0,"Jun 28, 2020 10:12:46 PM",0,,stock.pansuriyaimpex.com接口xml导入,0,https://www.pansuriyaimpex.com/DiamondCerti/6341852919.pdf,http://www.diamondinfo.in/ViewImage.aspx?id=432149,0,1,N,0,B0,-,W0,-,4.93 ,0,0,0.0,2948.4,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4344178180,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.88X4.90X3.05,,,62.3,57.0,8860730068,6352248418,63050,-87.42,2951.865,印度,6352248418,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,0.0,DDIKUVKKID,3500.0,"Jun 27, 2020 2:11:41 PM",0,,63050 0623.xlsx,0,https://media.hdfiles.in:8520/cert.aspx?StoneId=8860730068,https://media.hdfiles.in:8520/HD4/imaged/8860730068/still.jpg,0,1,B,0,BT1,BC0,-,-,4.90,0,0,0.0,2951.865,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,IMG,,,,
4350873453,圆形,0.46,E,VVS1,EX,EX,EX,NON,4.92,4.89,3.10,63.2,57,100731403751,6342876798,62919,-94.5,2952.51,香港,6342876798,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUVG2KVUZG,3300.0,"Jun 28, 2020 10:24:50 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/6342876798.pdf,,0,1,N,0,BT0,BC0,-,-,4.92,0,0,0.0,2952.51,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,MED to STK,,,,,
4350519383,圆形,0.46,E,VVS2,EX,EX,EX,NON,5.03X5.04X3.02,,,59.90,59.00,F194-6A,2358250324,97085,-114.0,2953.2000000000003,孟买,2358250324,无奶,EC0,无咖,1,ratnakala.dotnodecoders.com,1,GIA,,0.0,FGH2-IA,3000.0,"Jun 28, 2020 9:10:57 PM",0,,dotnodecoders接口导入,0,,,0,1,N,0,BT0,BC0,-,-,5.04,0,0,0.0,2953.2000000000003,1,0,0,0,0,ROUND,MUMBAI,True,0,False,0,,,,,https://v360.in/Excellent/vision360.html?d=F194-6A,,,,
4350873729,圆形,0.46,E,VVS1,EX,EX,EX,NON,4.94,4.90,3.07,62.5,56,100734974407,6342703379,62919,-95.0,2960.1,香港,6342703379,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUV2HU22KU,3300.0,"Jun 28, 2020 10:24:54 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/6342703379.pdf,,0,1,N,0,BT0,BC0,-,-,4.94,0,0,0.0,2960.1,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,STK,,,,,
4350902791,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.94X4.98X3,,,60.4,58,SD-826AK,6352023130,79892,-87.98,2960.685,印度,6352023130,无奶,-,无咖,1,http://shreediamonds.com,1,GIA,,0.0,SD-DLIAK,3500.0,"Jun 28, 2020 10:30:46 PM",0,,shreediamonds接口导入,0,,,0,1,N,0,B0,-,-,-,4.98,0,0,0.0,2960.685,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,,,,,
4350841867,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.91,4.88,2.98,60.9,60,100734052862,6355112209,62919,-88.0,2961.0,香港,6355112209,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUV2KZLDIL,3500.0,"Jun 28, 2020 10:21:11 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/6355112209.pdf,,0,1,N,0,BT0,BC0,-,-,4.91,0,0,0.0,2961.0,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,STK,,,,,
4350946316,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.90,4.93,3.06,62.30,59.00,LD20016246,2347696138,48394,-88.0,2961.0,印度,2347696138,无奶,EC0,无咖,1,www.laxmidiamond.com,1,GIA,,0.0,LDLKKGIL2I,3500.0,"Jun 28, 2020 10:39:33 PM",0,,www.laxmidiamond.com文档在线导入,0,https://certifiedstone.info/certificate/LD20016246.pdf,https://certifiedstone.info/diamondimages/LD20016246/LD20016246_1.jpg,0,1,N,0,BT0,BC0,WT0,WC0,4.93,0,0,0.0,2961.0,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,https://certifiedstone.info/viewer/vision360.html?d=LD20016246,,,,
4350948118,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.89,4.90,3.06,62.50,56.00,LD20020883,2347874894,48394,-88.0,2961.0,印度,2347874894,无奶,EC0,无咖,1,www.laxmidiamond.com,1,GIA,,0.0,LDLKKLKDDV,3500.0,"Jun 28, 2020 10:40:22 PM",0,,www.laxmidiamond.com文档在线导入,0,https://certifiedstone.info/certificate/LD20020883.pdf,https://certifiedstone.info/diamondimages/LD20020883/LD20020883_1.jpg,0,1,N,0,BT0,BC0,WT0,WC0,4.90,0,0,0.0,2961.0,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,https://certifiedstone.info/viewer/vision360.html?d=LD20020883,,,,
4350947879,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.90,4.94,3.03,61.60,60.00,LD20021423,5346880612,48394,-88.0,2961.0,印度,5346880612,无奶,EC0,无咖,1,www.laxmidiamond.com,1,GIA,,0.0,LDLKKLG2LV,3500.0,"Jun 28, 2020 10:40:15 PM",0,,www.laxmidiamond.com文档在线导入,0,https://certifiedstone.info/certificate/LD20021423.pdf,https://certifiedstone.info/diamondimages/LD20021423/LD20021423_1.jpg,0,1,N,0,BT0,BC0,WT0,WC0,4.94,0,0,0.0,2961.0,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,https://certifiedstone.info/viewer/vision360.html?d=LD20021423,,,,
4350837305,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.92,4.90,3.06,62.4,56,100734869423,2346720690,62919,-88.0,2961.0,香港,2346720690,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUV2DIH2LV,3500.0,"Jun 28, 2020 10:19:55 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/2346720690.pdf,,0,1,N,0,BT0,BC0,-,-,4.92,0,0,0.0,2961.0,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,MED to STK,,,,,
4349940065,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.9,4.93,3.06,62.2,58.0,BG3476,5356192032,71657,-88.0,2961.0,香港,5356192032,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,0.0,BGV2UI,3500.0,"Jun 28, 2020 6:12:42 PM",0,N,71657 0628.xlsx,0,https://www.sunrisediamonds.com.hk/certi/5356192032.pdf,,0,1,N,1,-,-,-,-,4.93,0,0,0.0,2961.0,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4350942710,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.87,4.91,3.08,62.90,57.00,LD19121456,6345296499,48394,-88.0,2961.0,印度,6345296499,无奶,EC0,无咖,1,www.laxmidiamond.com,1,GIA,,0.0,LDGHGLG2ZI,3500.0,"Jun 28, 2020 10:37:39 PM",0,,www.laxmidiamond.com文档在线导入,0,https://certifiedstone.info/certificate/LD19121456.pdf,https://certifiedstone.info/diamondimages/LD19121456/LD19121456_1.jpg,0,1,N,0,BT0,BC0,WT0,WC0,4.91,0,0,0.0,2961.0,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,https://certifiedstone.info/viewer/vision360.html?d=LD19121456,,,,
4351001206,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.88X4.92X3.07,,,62.6,58,0.40W364862,7343286922,50841,-88.18,2963.835,印度,7343286922,无奶,-,无咖,1,starrays.com,1,GIA,,1.8,K.2KWVI2DIL,3500.0,"Jun 28, 2020 10:53:15 PM",0,,starrays.com文档在线导入,0,https://dnadiamond.net/DNA/FrmShowCert.aspx?refno=0.40W364862,,0,1,N,0,BT0,BC0,-,-,4.92,0,0,0.0,2963.835,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,M-SL.TK,,,,,
4351001207,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.89X4.93X3.05,,,62.1,58,0.40W364798,2347448205,50841,-88.18,2963.835,印度,2347448205,无奶,-,无咖,1,starrays.com,1,GIA,,1.8,K.2KWVI2UHD,3500.0,"Jun 28, 2020 10:53:15 PM",0,,starrays.com文档在线导入,0,https://dnadiamond.net/DNA/FrmShowCert.aspx?refno=0.40W364798,,0,1,N,0,BT0,BC0,-,-,4.93,0,0,0.0,2963.835,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,M-SL.TK,,,,,
4351001209,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.91X4.93X3.05,,,62,57,0.40W366308,1345309037,50841,-88.18,2963.835,印度,1345309037,无奶,-,无咖,1,starrays.com,1,GIA,,1.8,K.2KWVIIVKD,3500.0,"Jun 28, 2020 10:53:15 PM",0,,starrays.com文档在线导入,0,https://dnadiamond.net/DNA/FrmShowCert.aspx?refno=0.40W366308,,0,1,N,0,BT0,BC0,-,-,4.93,0,0,0.0,2963.835,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,M-SL.TK,,,,,
